index_code,date,open,close,low,high,volume,money,change
sh000001,2014/12/29,3212.56,3168.02,3126.94,3223.86,51011143900.00,555904000000.00,0.00 
sh000001,2014/12/26,3078.01,3157.60,3064.18,3164.16,46070093200.00,488915000000.00,0.03 
sh000001,2014/12/25,2992.46,3072.54,2969.87,3073.35,37694777600.00,379018000000.00,0.03 
sh000001,2014/12/24,3039.21,2972.53,2934.91,3050.51,37680524600.00,378727000000.00,-0.02 
sh000001,2014/12/23,3085.08,3032.61,3025.67,3136.84,43776240000.00,419468000000.00,-0.03 
sh000001,2014/12/22,3129.27,3127.45,3090.51,3189.87,67937191500.00,624481000000.00,0.01 
sh000001,2014/12/19,3053.08,3108.60,3018.42,3117.53,52107351100.00,515580000000.00,0.02 
sh000001,2014/12/18,3062.80,3057.52,3030.32,3089.79,43590495200.00,466525000000.00,0.00 
sh000001,2014/12/17,3031.95,3061.02,2993.33,3076.60,54250317900.00,580339000000.00,0.01 
sh000001,2014/12/16,2953.81,3021.52,2943.91,3021.90,45384272300.00,492716000000.00,0.02 
sh000001,2014/12/15,2921.45,2953.42,2890.90,2960.23,40037169500.00,411487000000.00,0.01 
sh000001,2014/12/12,2929.36,2938.17,2914.96,2962.51,40948081100.00,420410000000.00,0.00 
sh000001,2014/12/11,2912.35,2925.74,2892.61,2965.68,48263273300.00,479801000000.00,0.00 
sh000001,2014/12/10,2855.94,2940.01,2807.68,2946.71,51288691300.00,534990000000.00,0.03 
sh000001,2014/12/9,2992.49,2856.27,2834.59,3091.32,77199837900.00,793361000000.00,-0.05 
sh000001,2014/12/8,2907.82,3020.26,2879.85,3041.66,58757089000.00,593478000000.00,0.03 
sh000001,2014/12/5,2926.57,2937.65,2813.05,2978.03,64050029600.00,639191000000.00,0.01 
sh000001,2014/12/4,2783.47,2899.46,2772.43,2900.51,53268771800.00,509219000000.00,0.04 
sh000001,2014/12/3,2768.68,2779.53,2733.87,2824.18,56212028100.00,529777000000.00,0.01 
sh000001,2014/12/2,2667.82,2763.55,2665.69,2777.37,43773338100.00,397239000000.00,0.03 
sh000001,2014/12/1,2691.73,2680.16,2668.84,2720.74,44679174100.00,401120000000.00,0.00 
sh000001,2014/11/28,2629.63,2682.84,2622.06,2683.18,46588003500.00,401951000000.00,0.02 
sh000001,2014/11/27,2615.37,2630.49,2599.11,2631.40,36407571900.00,338961000000.00,0.01 
sh000001,2014/11/26,2572.65,2604.35,2570.40,2605.07,33712724900.00,316521000000.00,0.01 
sh000001,2014/11/25,2532.00,2567.60,2527.08,2568.38,31431557200.00,282169000000.00,0.01 
sh000001,2014/11/24,2505.53,2532.88,2495.52,2546.75,36348583500.00,330291000000.00,0.02 
sh000001,2014/11/21,2452.64,2486.79,2446.65,2488.20,21223977400.00,197810000000.00,0.01 
sh000001,2014/11/20,2443.28,2452.66,2437.48,2458.32,16549521300.00,150800000000.00,0.00 
sh000001,2014/11/19,2452.15,2450.99,2442.71,2461.49,18623577100.00,167069000000.00,0.00 
sh000001,2014/11/18,2474.18,2456.37,2449.81,2477.05,20106257000.00,174659000000.00,-0.01 
sh000001,2014/11/17,2506.86,2474.01,2472.45,2508.77,21568780000.00,199265000000.00,0.00 
